Date,Sample,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
11/9/18,VP-Sump-AM,8,16.43,17.6,1,0,7.848982328,2.13E-05,553.2429841,555.1843638,553.2429841,555.1843638,553.2429841,555.184368,0.001437878,4.98E-05,0.001508933,0.001557545,0.801872747,1.344959335
11/9/18,MR-Sump-AM,8,11,17.9,1,0,7.715527971,2.22E-05,565.9067053,567.8850782,565.9067053,567.8850782,565.9067053,567.8850826,0.00100118,2.15E-05,0.001044834,0.001053205,0.349185022,0.6070332
11/9/18,PR-UC-Sump-AM,8,9.08,17.8,1,0,7.649443329,2.23E-05,560.5120972,562.4740622,560.5120972,562.4740622,560.5120972,562.4740665,0.000826851,1.42E-05,0.000863291,0.000861355,0.231313965,0.407045352
11/9/18,Low-Sump-AM,8,5.47,18.3,1,0,7.514652864,1.87E-05,467.5104575,469.1364801,467.5104575,469.1364801,467.5104575,469.1364831,0.000473298,5.29E-06,0.000497271,0.000486435,0.087275737,0.155816559
11/9/18,VP-Sump-PM,8,16.2,18.3,1,0,7.840666116,2.14E-05,567.6050068,569.579385,567.6050068,569.579385,567.6050068,569.5793894,0.001435788,4.97E-05,0.001506898,0.001554985,0.804256022,1.348921729
11/9/18,MR-Sump-PM,8,10.94,18.5,1,0,7.711071115,2.18E-05,565.9712842,567.9350473,565.9712842,567.9350473,565.9712842,567.9350517,0.000985763,2.13E-05,0.001028927,0.001037581,0.34896329,0.606108623
11/9/18,PR-UC-Sump-PM,8,8.94,18.4,1,0,7.639035273,2.23E-05,570.9809652,572.9646057,570.9809652,572.9646057,570.9809652,572.9646101,0.000816785,1.39E-05,0.000852997,0.000850625,0.228210095,0.401405348
11/9/18,Low-Sump-PM,8,4.44,18.7,1,0,7.44507454,1.78E-05,447.856087,449.40593,447.856087,449.40593,447.856087,449.4059327,0.000377832,3.51E-06,0.000399129,0.0003866,0.057805075,0.103193791
11/9/18,MR-1-06-L-PM,8,5.67,16.9,1,0,7.110871277,6.41E-05,1539.062251,1544.516784,1539.062251,1544.516784,1539.062251,1544.516817,0.000623814,2.63E-06,0.000690512,0.000630015,0.042871954,0.076724004
11/9/18,MR-1-04-A-PM,8,11.05,16.9,1,0,7.514784387,2.70E-05,667.9920014,670.3571057,667.9920014,670.3571057,667.9920014,670.3571119,0.000750541,9.77E-06,0.000787304,0.00077578,0.157868241,0.274929917
