Date,Time,Sample_ID,Treatment ,Site,Set,Replicate,Sample_Number,DO_mg,DO_P,Temp,Sal,spec_pH,TA,pCO2,OmegaCa
11/9/18,21:58,PR-1-06-L,Low,Piankatank,Set1,6,33,9.07,96.4,16.8,5.54,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:33,UC-1-07-L,Low,Urbanna Creek,Set1,7,47,9.04,96.6,16.8,5.54,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:07,PR-1-01-L,Low,Piankatank,Set1,1,15,9.2,99.6,16.8,5.55,7.42116771,457.995,544.087328,0.11165018
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:54,MR-1-05-L,Low,Merroir,Set1,5,30,9.19,98.3,16.8,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:56,UC-1-01-L,Low,Urbanna Creek,Set1,1,31,9.11,97.3,16.7,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:01,UC-1-04-L,Low,Urbanna Creek,Set1,4,35,9.81,97.9,16.7,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:05,MR-1-07-L,Low,Merroir,Set1,7,38,9.03,96.4,16.8,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:19,UC-1-05-L,Low,Urbanna Creek,Set1,5,19,9.08,97.1,16.9,5.56,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:32,UC-1-03-L,Low,Urbanna Creek,Set1,3,27,9.01,97.4,16.9,5.56,,,,
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:36,VP-1-07-L,Low,VIMS Pier,Set1,7,50,9.21,98.3,16.8,5.56,7.52018469,598.23,563.348316,0.18249394
11/9/18,8:03,Low Sump,Low,Sump,Set1,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:57,MR-1-02-L,Low,Merroir,Set1,2,32,9.13,97.4,16.7,5.57,,,,
