Sample_ID,Site,Treatment,Set,Common_Garden,Replicate,FRAP,Log_FRAP,Sqrt_FRAP,Delta_FRAP,Log_Delta_FRAP,Sqrt_Delta_FRAP,test_FRAP,Log_test_FRAP,Sqrt_test_FRAP,test_FRAP_Delta,Log_test_FRAP_Delta,Sqrt_test_FRAP_Delta
MR-1-01-A,Merroir,Ambient,Set1,N,1,38.07855441,1.580680453,6.170782318,NA,NA,NA,0.18013776,-0.744395242,0.424426389,NA,NA,
MR-1-02-A,Merroir,Ambient,Set1,N,2,197.7867698,2.296197238,14.06366843,NA,NA,NA,1.356664352,0.132472414,1.164759354,NA,NA,
MR-1-03-A,Merroir,Ambient,Set1,N,3,67.63148965,1.830148953,8.223836675,NA,NA,NA,1.327036482,0.122882862,1.151970695,NA,NA,
MR-1-04-A,Merroir,Ambient,Set1,N,4,45.35965333,1.656669727,6.73495756,NA,NA,NA,1.002151686,0.000933461,1.001075265,NA,NA,
MR-1-05-A,Merroir,Ambient,Set1,N,5,49.09097648,1.691001671,7.006495306,NA,NA,NA,1.047629175,0.020207584,1.023537579,NA,NA,
MR-1-06-A,Merroir,Ambient,Set1,N,6,48.20329146,1.683076694,6.942859026,NA,NA,NA,0.663643828,-0.17806494,0.814643375,NA,NA,
MR-1-07-A,Merroir,Ambient,Set1,N,7,51.86796075,1.714899174,7.201941457,NA,NA,NA,0.814161525,-0.089289425,0.902308996,NA,NA,
PR-1-01-A,Piankatank,Ambient,Set1,N,8,69.16430023,1.839881987,8.316507694,NA,NA,NA,1.368577594,0.136269426,1.169862212,NA,NA,
PR-1-02-A,Piankatank,Ambient,Set1,N,9,56.93474805,1.755377403,7.545511782,NA,NA,NA,1.004641186,0.002010978,1.002317907,NA,NA,
PR-1-03-A,Piankatank,Ambient,Set1,N,10,67.06960087,1.826525722,8.189603218,NA,NA,NA,1.429498736,0.155183776,1.195616467,NA,NA,
PR-1-04-A,Piankatank,Ambient,Set1,N,11,48.74931718,1.687968537,6.982071124,NA,NA,NA,1.108858891,0.044876283,1.05302369,NA,NA,
PR-1-05-A,Piankatank,Ambient,Set1,N,12,71.24704519,1.852766858,8.440796478,NA,NA,NA,1.22682624,0.088783056,1.107621885,NA,NA,
PR-1-06-A,Piankatank,Ambient,Set1,N,13,51.14260929,1.708782882,7.151406106,NA,NA,NA,0.998644087,-0.000589265,0.999321814,NA,NA,
PR-1-07-A,Piankatank,Ambient,Set1,N,14,52.83500714,1.72292177,7.2687693,NA,NA,NA,0.9818751,-0.007943753,0.99089611,NA,NA,
UC-1-01-A,Urbanna Creek,Ambient,Set1,N,15,42.62031829,1.629616689,6.528423875,NA,NA,NA,1.461168696,0.164700359,1.20878811,NA,NA,
UC-1-02-A,Urbanna Creek,Ambient,Set1,N,16,52.98135706,1.724123078,7.278829374,NA,NA,NA,1.312774979,0.118190291,1.145763928,NA,NA,
UC-1-03-A,Urbanna Creek,Ambient,Set1,N,17,57.90481952,1.762714712,7.609521635,NA,NA,NA,1.019685053,0.008466053,1.00979456,NA,NA,
UC-1-04-A,Urbanna Creek,Ambient,Set1,N,18,52.52787201,1.720389807,7.247611469,NA,NA,NA,1.034952618,0.014920467,1.01732621,NA,NA,
UC-1-05-A,Urbanna Creek,Ambient,Set1,N,19,58.15486589,1.764586059,7.625933772,NA,NA,NA,1.097726247,0.040494048,1.047724318,NA,NA,
UC-1-06-A,Urbanna Creek,Ambient,Set1,N,20,28.75407243,1.458699362,5.36228239,NA,NA,NA,0.565386697,-0.247654414,0.751922002,NA,NA,
UC-1-07-A,Urbanna Creek,Ambient,Set1,N,21,70.44673408,1.847860864,8.393255273,NA,NA,NA,1.243077004,0.094498032,1.114933632,NA,NA,
VP-1-01-A,VIMS Pier,Ambient,Set1,N,22,69.69172952,1.843181242,8.348157253,NA,NA,NA,1.178754205,0.071423255,1.085704474,NA,NA,
VP-1-02-A,VIMS Pier,Ambient,Set1,N,23,54.69632717,1.737958165,7.39569653,NA,NA,NA,0.683423388,-0.165310163,0.826694253,NA,NA,
VP-1-03-A,VIMS Pier,Ambient,Set1,N,24,51.21368035,1.709385987,7.156373408,NA,NA,NA,0.724892874,-0.13972617,0.851406409,NA,NA,
VP-1-04-A,VIMS Pier,Ambient,Set1,N,25,53.00028971,1.724278244,7.280129787,NA,NA,NA,0.89882126,-0.046326664,0.948061844,NA,NA,
VP-1-05-A,VIMS Pier,Ambient,Set1,N,26,47.43051803,1.676057868,6.886981779,NA,NA,NA,0.71488344,-0.145764763,0.8455078,NA,NA,
VP-1-06-A,VIMS Pier,Ambient,Set1,N,27,50.59298415,1.704090296,7.112874535,NA,NA,NA,0.767463443,-0.114942302,0.876049909,NA,NA,
VP-1-07-A,VIMS Pier,Ambient,Set1,N,28,59.09959763,1.771584524,7.687626268,NA,NA,NA,0.72957555,-0.136929729,0.854151948,NA,NA,
