Sample_ID,Site,Env_History,MaxLength,ConditionIndex,Prop_CI,DeltaCI,Prop_DeltaCI
MR-1-01-G,Merroir,Proximal,39.8,7.278445806,0.072784458,,
MR-1-02-G,Merroir,Proximal,35.3,5.629086404,0.056290864,,
MR-1-03-G,Merroir,Proximal,55.9,7.811697261,0.078116973,,
MR-1-04-G,Merroir,Proximal,39.9,5.563359615,0.055633596,,
MR-1-05-G,Merroir,Proximal,40,4.747454614,0.047474546,,
MR-1-06-G,Merroir,Proximal,38.7,6.830093119,0.068300931,,
MR-1-07-G,Merroir,Proximal,45.05,5.748865356,0.057488654,,
MR-1-08-G,Merroir,Proximal,36.6,5.196051252,0.051960513,,
MR-1-09-G,Merroir,Proximal,52.2,5.577180299,0.055771803,,
PR-1-01-G,Piankatank,Proximal,50,7.154188619,0.071541886,,
PR-1-02-G,Piankatank,Proximal,32.7,5.74320842,0.057432084,,
PR-1-03-G,Piankatank,Proximal,37.2,7.512028936,0.075120289,,
PR-1-04-G,Piankatank,Proximal,42.5,7.132514749,0.071325147,,
PR-1-05-G,Piankatank,Proximal,33.2,8.074472507,0.080744725,,
PR-1-06-G,Piankatank,Proximal,37.6,8.727857525,0.087278575,,
PR-1-07-G,Piankatank,Proximal,31.1,7.701853213,0.077018532,,
PR-1-08-G,Piankatank,Proximal,25.1,5.742046336,0.057420463,,
PR-1-09-G,Piankatank,Proximal,35.25,5.492658803,0.054926588,,
UC-1-01-G,Urbana Creek,Proximal,38.1,5.907945317,0.059079453,,
UC-1-02-G,Urbana Creek,Proximal,36.1,7.502428014,0.07502428,,
UC-1-03-G,Urbana Creek,Proximal,56.5,7.113111656,0.071131117,,
UC-1-04-G,Urbana Creek,Proximal,36.2,6.861762672,0.068617627,,
UC-1-05-G,Urbana Creek,Proximal,42.6,8.165209594,0.081652096,,
UC-1-06-G,Urbana Creek,Proximal,43.9,7.380194302,0.073801943,,
UC-1-07-G,Urbana Creek,Proximal,36,6.435775064,0.064357751,,
VP-1-01-G,VIMS Pier,Proximal,53.7,4.190248378,0.041902484,,
VP-1-02-G,VIMS Pier,Proximal,41.7,5.064681423,0.050646814,,
VP-1-03-G,VIMS Pier,Proximal,36.1,3.549774752,0.035497748,,
VP-1-04-G,VIMS Pier,Proximal,48.1,3.660200428,0.036602004,,
VP-1-05-G,VIMS Pier,Proximal,42.4,4.644094938,0.046440949,,
VP-1-06-G,VIMS Pier,Proximal,34.7,4.970046009,0.04970046,,
VP-1-07-G,VIMS Pier,Proximal,50.1,4.061054387,0.040610544,,
VP-1-08-G,VIMS Pier,Proximal,31.2,4.001842307,0.040018423,,
VP-1-09-G,VIMS Pier,Proximal,41.4,3.60247878,0.036024788,,
MR-2-01-G,Merroir,Distal,53.2,5.46325551,0.054632555,-0.579214904,-0.005792149
MR-2-02-G,Merroir,Distal,43.1,6.160744736,0.061607447,0.118274322,0.001182743
