Sample_ID,Site,Date,EnvHist,Initial_Shell,Shell_Transform
MR18-0719-01,Merroir,7/19/18,Distal,11.2,0.089285714
MR18-0719-02,Merroir,7/19/18,Distal,11.4,0.087719298
MR18-0719-03,Merroir,7/19/18,Distal,10.4,0.096153846
MR18-0719-04,Merroir,7/19/18,Distal,14.9,0.067114094
MR18-0719-05,Merroir,7/19/18,Distal,18,0.055555556
MR18-0719-06,Merroir,7/19/18,Distal,12.3,0.081300813
MR18-0719-07,Merroir,7/19/18,Distal,11.6,0.086206897
MR18-0719-08,Merroir,7/19/18,Distal,17.2,0.058139535
MR18-0719-09,Merroir,7/19/18,Distal,17.1,0.058479532
MR18-0719-10,Merroir,7/19/18,Distal,13.4,0.074626866
MR18-0719-11,Merroir,7/19/18,Distal,12.3,0.081300813
MR18-0719-12,Merroir,7/19/18,Distal,16.1,0.062111801
MR18-0719-13,Merroir,7/19/18,Distal,14.7,0.068027211
MR18-0719-14,Merroir,7/19/18,Distal,9.1,0.10989011
MR18-0719-15,Merroir,7/19/18,Distal,13.1,0.076335878
MR18-0719-16,Merroir,7/19/18,Distal,12.9,0.07751938
MR18-0719-17,Merroir,7/19/18,Distal,10.3,0.097087379
MR18-0719-18,Merroir,7/19/18,Distal,15.5,0.064516129
MR18-0719-19,Merroir,7/19/18,Distal,13,0.076923077
MR18-0719-20,Merroir,7/19/18,Distal,15.7,0.063694268
MR18-0719-21,Merroir,7/19/18,Distal,13.5,0.074074074
MR18-0719-22,Merroir,7/19/18,Distal,14.7,0.068027211
MR18-0719-23,Merroir,7/19/18,Distal,16.6,0.060240964
MR18-0719-24,Merroir,7/19/18,Distal,12.1,0.082644628
MR18-0719-25,Merroir,7/19/18,Distal,20.4,0.049019608
MR18-0719-26,Merroir,7/19/18,Distal,16.9,0.059171598
MR18-0719-27,Merroir,7/19/18,Distal,12,0.083333333
MR18-0719-28,Merroir,7/19/18,Distal,12.5,0.08
MR18-0719-29,Merroir,7/19/18,Distal,14.9,0.067114094
MR18-0719-30,Merroir,7/19/18,Distal,11.1,0.09009009
MR18-0719-31,Merroir,7/19/18,Distal,15.1,0.066225166
MR18-0719-32,Merroir,7/19/18,Distal,12.8,0.078125
MR18-0719-33,Merroir,7/19/18,Distal,12.5,0.08
MR18-0719-34,Merroir,7/19/18,Distal,11.3,0.088495575
MR18-0719-35,Merroir,7/19/18,Distal,17.3,0.057803468
MR18-0719-36,Merroir,7/19/18,Distal,13.1,0.076335878
MR18-0719-37,Merroir,7/19/18,Distal,11.7,0.085470085
MR18-0719-38,Merroir,7/19/18,Distal,17.4,0.057471264
MR18-0719-39,Merroir,7/19/18,Distal,12.5,0.08
MR18-0719-40,Merroir,7/19/18,Distal,14.3,0.06993007
MR18-0719-41,Merroir,7/19/18,Distal,12.5,0.08
MR18-0719-42,Merroir,7/19/18,Distal,11.8,0.084745763
MR18-0719-43,Merroir,7/19/18,Distal,13.7,0.072992701
MR18-0719-44,Merroir,7/19/18,Distal,11.8,0.084745763
MR18-0719-45,Merroir,7/19/18,Distal,13.5,0.074074074
MR18-0719-46,Merroir,7/19/18,Distal,13.4,0.074626866
MR18-0719-47,Merroir,7/19/18,Distal,15.9,0.062893082
MR18-0719-48,Merroir,7/19/18,Distal,16.6,0.060240964
MR18-0719-49,Merroir,7/19/18,Distal,17,0.058823529
MR18-0719-50,Merroir,7/19/18,Distal,11.7,0.085470085
PR18-0719-01,Piankatank,7/19/18,Distal,15,0.066666667
PR18-0719-02,Piankatank,7/19/18,Distal,10.6,0.094339623
PR18-0719-03,Piankatank,7/19/18,Distal,13.9,0.071942446
PR18-0719-04,Piankatank,7/19/18,Distal,14.2,0.070422535
PR18-0719-05,Piankatank,7/19/18,Distal,14.3,0.06993007
PR18-0719-06,Piankatank,7/19/18,Distal,13.3,0.07518797
PR18-0719-07,Piankatank,7/19/18,Distal,12.5,0.08
PR18-0719-08,Piankatank,7/19/18,Distal,15.9,0.062893082
PR18-0719-09,Piankatank,7/19/18,Distal,16.1,0.062111801
PR18-0719-10,Piankatank,7/19/18,Distal,21.3,0.046948357
PR18-0719-11,Piankatank,7/19/18,Distal,13.3,0.07518797
PR18-0719-12,Piankatank,7/19/18,Distal,14.3,0.06993007
PR18-0719-13,Piankatank,7/19/18,Distal,14.9,0.067114094
PR18-0719-14,Piankatank,7/19/18,Distal,15,0.066666667
PR18-0719-15,Piankatank,7/19/18,Distal,14.5,0.068965517
PR18-0719-16,Piankatank,7/19/18,Distal,13.6,0.073529412
PR18-0719-17,Piankatank,7/19/18,Distal,14.7,0.068027211
PR18-0719-18,Piankatank,7/19/18,Distal,14.6,0.068493151
PR18-0719-19,Piankatank,7/19/18,Distal,14.7,0.068027211
PR18-0719-20,Piankatank,7/19/18,Distal,15.3,0.065359477
PR18-0719-21,Piankatank,7/19/18,Distal,15.1,0.066225166
PR18-0719-22,Piankatank,7/19/18,Distal,20.1,0.049751244
PR18-0719-23,Piankatank,7/19/18,Distal,14.1,0.070921986
PR18-0719-24,Piankatank,7/19/18,Distal,13,0.076923077
PR18-0719-25,Piankatank,7/19/18,Distal,14.3,0.06993007
