Sample_ID,Site,Treatment,Common_Garden,Replicate,FRAP,Delta_FRAP,Treatment,Site,Distal_Temp,Distal_Sal,Distal_Cond,Distal_pH,Distal_DO_mg,Distal_TA,Distal_pCO2,Distal_Omega_Ca,Proximal_Temp,Proximal_Sal,Proximal_Cond,Proximal_pH,Proximal_DO_mg,Proximal_TA,Proximal_pCO2,Proximal_Omega_Ca
MR-2-01-A,Merroir,Ambient,Y,57,1.32031513,0.40725444,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-02-A,Merroir,Ambient,Y,58,0.85846426,-0.0545964,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-03-A,Merroir,Ambient,Y,59,0.98783287,0.07477218,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-04-A,Merroir,Ambient,Y,60,0.58768227,-0.3253784,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-05-A,Merroir,Ambient,Y,61,1.24704335,0.33398266,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-06-A,Merroir,Ambient,Y,62,0.84661844,-0.0664422,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
MR-2-07-A,Merroir,Ambient,Y,63,1.04283435,0.12977366,Ambient,Merroir,24.98,11.303,19230.6,7.72830364,6.342,1414.934,823.131091,1.1760419,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-01-A,Piankatank,Ambient,Y,64,1.27953348,0.11968751,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-02-A,Piankatank,Ambient,Y,65,0.96501714,-0.1948288,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-03-A,Piankatank,Ambient,Y,66,0.76769477,-0.3921512,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-04-A,Piankatank,Ambient,Y,67,1.0828892,-0.0769568,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-05-A,Piankatank,Ambient,Y,68,1.18960613,0.02976015,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-06-A,Piankatank,Ambient,Y,69,0.82582778,-0.3340182,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
PR-2-07-A,Piankatank,Ambient,Y,70,0.84676168,-0.3130843,Ambient,Piankatank,26.03,8.633,15318.3,7.52937852,6.665,1348.159,1386.63724,0.97195109,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-01-A,Urbanna Creek,Ambient,Y,71,1.23244735,0.12748002,Ambient,Urbanna Creek,24.75,9.065,15657.3,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-02-A,Urbanna Creek,Ambient,Y,72,1.11231265,0.00734532,Ambient,Urbanna Creek,24.75,9.065,15657.3,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-03-A,Urbanna Creek,Ambient,Y,73,1.06890697,-0.0360604,Ambient,Urbanna Creek,24.75,9.065,15657.3,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-04-A,Urbanna Creek,Ambient,Y,74,1.21635101,0.11138368,Ambient,Urbanna Creek,24.75,9.065,15657.3,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
UC-2-05-A,Urbanna Creek,Ambient,Y,75,0.90535934,-0.199608,Ambient,Urbanna Creek,24.75,9.065,15657.3,7.7431076,6.5,1388.956,769.114421,1.03973365,11.2,13.33,16376.8,7.9021755,11.78,1402.392,449.09214,1.00067673
